City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
200,Trinidad,BO,84.18,scattered clouds,-14.8333,-64.9,Hotel Piesta
204,Saint George,US,85.42,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
205,Ambon,ID,79.23,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
211,Omboue,GA,75.94,broken clouds,-1.5746,9.2618,Hotel Olako
213,Meadow Lake,US,78.48,clear sky,34.8014,-106.5436,TumbleWeed RV Park
214,Lasa,IT,80.69,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
215,Sao Filipe,CV,76.84,scattered clouds,14.8961,-24.4956,Hotel Xaguate
217,Faya,SA,82.51,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
218,Capitao Poco,BR,83.61,clear sky,-1.7464,-47.0594,Hotel New Tokyo
221,Kailua,US,75.49,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
222,Hamilton,US,86.88,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
226,Jasper,US,89.46,clear sky,37.2001,-94.3502,Guest House Motel
228,Sonoita,MX,85.48,clear sky,31.85,-112.8333,Hotel internacional
229,Kaseda,JP,79.03,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
230,Srandakan,ID,77.4,overcast clouds,-7.9386,110.2506,Puri Brata
231,Hami,CN,82.38,scattered clouds,42.8,93.45,Laoyutang Resort
233,Sola,VU,80.96,scattered clouds,-13.8833,167.55,Leumerus Bungalows
240,Kavaratti,IN,81.77,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
243,Gonc,HU,77.92,scattered clouds,48.4667,21.2833,Tök-Jó Vendégház
244,Panacan,PH,80.74,overcast clouds,9.2463,118.4082,Mom's Place Resort
251,Faanui,PF,78.53,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
252,Paragominas,BR,87.35,clear sky,-2.9667,-47.4833,INOVA
254,Mogadishu,SO,80.47,broken clouds,2.0371,45.3438,Hotel Juba
256,Asau,RO,76.12,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
258,Mangrol,IN,81.5,broken clouds,21.1167,70.1167,Hotel The Royal Honours
261,Lakatoro,VU,78.6,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
263,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
264,Gushikawa,JP,81.63,clear sky,26.3544,127.8686,Kirari Guest House
265,Manggar,ID,81.45,clear sky,-2.8833,108.2667,Guest Hotel
269,Piacabucu,BR,76.55,light rain,-10.4056,-36.4344,Piaçabuçu News
271,Serpa,PT,85.96,clear sky,37.9458,-7.5975,Casa do Caniço
272,Estancia,BR,78.71,scattered clouds,-11.2683,-37.4383,Tropical Hotel
274,Santarem,BR,86.13,few clouds,-2.4431,-54.7083,Hotel Imperador
275,Bay Roberts,CA,76.75,overcast clouds,47.5999,-53.2648,Stonewall Inn
276,Jeremie,HT,84.13,few clouds,18.65,-74.1167,Auberge’Inn
277,Cabedelo,BR,84.87,clear sky,-6.9811,-34.8339,Pousada Camboinha
278,Kawit,PH,84.31,scattered clouds,14.45,120.9,Water Camp Resort
279,Koumac,NC,76.08,overcast clouds,-20.5667,164.2833,Le Monitel
281,Apac,UG,81.16,broken clouds,1.9756,32.5386,Double Duez Apac
283,Palauig,PH,80.4,overcast clouds,15.435,119.9045,Villa Raphael Resort
285,Pauini,BR,85.01,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
289,Honiara,SB,75.78,overcast clouds,-9.4333,159.95,Heritage Park Hotel
291,Alamogordo,US,83.57,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
293,Pathein,MM,80.08,overcast clouds,16.7833,94.7333,Pathein Hotel
296,Kathu,TH,85.75,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
